u_id,backgr_degree,v_18,backgr_exp_famil_mlm,backgr_exp_teach_stat,belief_H1_1,belief_H1_2,belief_H1_3,belief_certainty_1,belief_certainty_2,belief_certainty_3,v_33,v_98,v_99,v_100,v_41,v_88,v_90,v_94,v_110
182,3,1.0,3.0,5.0,1,2.0,3.0,2.0,3.0,4.0,-0.13692229255191954,-0.17769020761247245,-0.4701849420102447,0.10230203224474622,2.0,4.0,4.0,4.0,0
183,2,3.0,3.0,6.0,2,3.0,3.0,3.0,2.0,4.0,1.2106099727610309,-0.17769020761247245,-0.4701849420102447,0.10230203224474622,2.0,4.0,4.0,4.0,0
184,5,2.0,2.0,4.0,1,2.0,3.0,5.0,5.0,4.0,0.007456164445896576,-0.17769020761247245,-0.4701849420102447,0.10230203224474622,2.0,4.0,4.0,4.0,0
185,2,3.0,1.0,2.0,2,2.0,3.0,2.0,3.0,4.0,-0.13692229255191954,-0.17769020761247245,-0.4701849420102447,0.10230203224474622,2.0,4.0,4.0,4.0,0
187,4,1.0,3.0,2.0,2,2.0,3.0,2.0,2.0,2.0,0.007456164445896576,-0.17769020761247245,-0.4701849420102447,2.665870604966033,2.0,5.0,4.0,4.0,1
188,3,1.0,4.0,3.0,1,3.0,3.0,3.0,3.0,5.0,-0.28130074954973566,-0.17769020761247245,-0.4701849420102447,0.10230203224474622,3.0,4.0,4.0,4.0,0
189,3,1.0,3.0,1.0,2,3.0,3.0,2.0,2.0,2.0,0.007456164445896576,-0.17769020761247245,-0.4701849420102447,1.3840863186053893,2.0,4.0,4.0,5.0,0
19,2,3.0,5.0,3.0,1,2.0,2.0,3.0,3.0,2.0,-0.1850484448845249,-0.17769020761247245,0.8831852289111356,-1.179482254115897,2.0,4.0,4.0,3.0,0
190,2,3.0,3.0,12.0,2,2.0,3.0,3.0,5.0,6.0,-0.28130074954973566,-0.17769020761247245,-0.4701849420102447,0.10230203224474622,3.0,4.0,4.0,4.0,0
191,1,1.0,3.0,1.0,2,3.0,3.0,1.0,3.0,6.0,-0.3775530542149464,1.1274137310584462,-0.4701849420102447,1.3840863186053893,3.0,4.0,2.0,4.0,1
192,2,1.0,5.0,12.0,2,3.0,3.0,4.0,4.0,5.0,-0.2331745972171303,-0.17769020761247245,-0.4701849420102447,-1.179482254115897,2.0,2.0,1.0,4.0,0
193,3,3.0,3.0,3.0,0,2.0,3.0,1.0,1.0,2.0,-0.13692229255191954,-1.4827941462833911,-0.4701849420102447,-1.179482254115897,1.0,4.0,5.0,4.0,1
194,3,1.0,2.0,2.0,3,4.0,3.0,2.0,5.0,5.0,-0.1850484448845249,-1.4827941462833911,-0.4701849420102447,2.665870604966033,1.0,1.0,5.0,5.0,0
195,3,1.0,4.0,5.0,2,3.0,3.0,2.0,2.0,3.0,-0.1850484448845249,1.1274137310584462,-0.4701849420102447,0.10230203224474622,1.0,3.0,4.0,4.0,0
196,3,1.0,3.0,2.0,1,2.0,3.0,6.0,6.0,5.0,0.007456164445896576,-0.17769020761247245,-0.4701849420102447,0.10230203224474622,2.0,4.0,4.0,4.0,0
197,3,1.0,3.0,3.0,1,3.0,3.0,2.0,3.0,4.0,-0.3775530542149464,1.1274137310584462,0.8831852289111356,0.10230203224474622,3.0,2.0,3.0,4.0,1
198,4,1.0,3.0,5.0,3,2.0,3.0,2.0,3.0,4.0,-0.13692229255191954,-0.17769020761247245,-0.4701849420102447,0.10230203224474622,2.0,4.0,4.0,4.0,0
199,4,1.0,4.0,3.0,1,2.0,3.0,2.0,3.0,4.0,-0.13692229255191954,-0.17769020761247245,-0.4701849420102447,0.10230203224474622,2.0,4.0,4.0,4.0,0
20,2,1.0,3.0,3.0,1,2.0,3.0,2.0,4.0,5.0,-0.28130074954973566,1.1274137310584462,0.8831852289111356,-1.179482254115897,2.0,3.0,3.0,4.0,0
200,2,1.0,2.0,1.0,2,2.0,3.0,2.0,3.0,4.0,-0.13692229255191954,-0.17769020761247245,-0.4701849420102447,0.10230203224474622,2.0,4.0,4.0,4.0,0
201,2,1.0,5.0,1.0,1,2.0,3.0,2.0,3.0,4.0,-0.13692229255191954,-0.17769020761247245,-0.4701849420102447,0.10230203224474622,2.0,4.0,4.0,4.0,0
