u_id,backgr_degree,v_18,backgr_exp_famil_mlm,backgr_exp_teach_stat,belief_H1_1,belief_H1_2,belief_H1_3,belief_certainty_1,belief_certainty_2,belief_certainty_3,v_33,v_98,v_99,v_100,v_41,v_88,v_90,v_94,v_110
183,3.0,3.0,3.0,6.0,3.0,3.0,,3.0,2.0,,35.0,,,,2.0,,,,
184,6.0,2.0,2.0,4.0,2.0,2.0,,5.0,5.0,,10.0,,,,2.0,,,,
185,3.0,3.0,1.0,2.0,3.0,,,2.0,,,,,,,,,,,
186,6.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,10.0,3.0,4.0,2.0,2.0,4.0,4.0,5.0,2.0
187,5.0,1.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,10.0,3.0,1.0,4.0,2.0,5.0,4.0,4.0,2.0
188,4.0,1.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,5.0,4.0,3.0,1.0,2.0,3.0,4.0,4.0,4.0,1.0
189,4.0,1.0,3.0,1.0,3.0,3.0,3.0,2.0,2.0,2.0,10.0,3.0,1.0,3.0,2.0,4.0,4.0,5.0,1.0
19,3.0,3.0,5.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,6.0,3.0,2.0,1.0,2.0,4.0,4.0,3.0,1.0
190,3.0,3.0,3.0,12.0,3.0,2.0,3.0,3.0,5.0,6.0,4.0,3.0,1.0,2.0,3.0,4.0,4.0,4.0,1.0
191,2.0,1.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,6.0,2.0,4.0,1.0,3.0,3.0,4.0,2.0,4.0,2.0
192,3.0,1.0,5.0,12.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,3.0,1.0,1.0,2.0,2.0,1.0,4.0,
193,4.0,3.0,3.0,3.0,1.0,2.0,3.0,1.0,1.0,2.0,7.0,2.0,1.0,1.0,1.0,4.0,5.0,4.0,2.0
194,4.0,1.0,2.0,2.0,4.0,4.0,3.0,2.0,5.0,5.0,6.0,2.0,1.0,4.0,1.0,1.0,5.0,5.0,1.0
195,4.0,1.0,4.0,5.0,3.0,3.0,3.0,2.0,2.0,3.0,6.0,4.0,1.0,2.0,1.0,3.0,4.0,4.0,1.0
196,4.0,1.0,3.0,2.0,2.0,2.0,3.0,6.0,6.0,5.0,10.0,,,,2.0,,,,
197,4.0,1.0,3.0,3.0,2.0,3.0,,2.0,3.0,,2.0,4.0,2.0,2.0,3.0,2.0,3.0,4.0,2.0
198,5.0,1.0,3.0,5.0,4.0,,,2.0,,,,,,,,,,,
199,5.0,1.0,4.0,3.0,2.0,,,2.0,,,,,,,,,,,
2,7.0,3.0,4.0,9.0,3.0,4.0,3.0,4.0,4.0,2.0,6.0,4.0,4.0,2.0,2.0,3.0,3.0,4.0,1.0
20,3.0,1.0,3.0,3.0,2.0,2.0,3.0,2.0,4.0,5.0,4.0,4.0,2.0,1.0,2.0,3.0,3.0,4.0,1.0
200,3.0,1.0,2.0,1.0,3.0,,,2.0,,,,,,,,,,,
201,3.0,1.0,5.0,1.0,2.0,,,2.0,,,,,,,,,,,
202,3.0,1.0,5.0,1.0,2.0,1.0,2.0,4.0,2.0,5.0,8.0,3.0,2.0,2.0,3.0,4.0,5.0,4.0,1.0
203,3.0,2.0,4.0,2.0,2.0,2.0,1.0,5.0,5.0,7.0,7.0,3.0,1.0,1.0,3.0,1.0,5.0,5.0,1.0
204,2.0,1.0,3.0,3.0,2.0,3.0,,2.0,1.0,,8.0,4.0,3.0,3.0,2.0,4.0,3.0,3.0,1.0
205,2.0,3.0,5.0,7.0,2.0,3.0,,2.0,3.0,,12.0,4.0,3.0,3.0,2.0,4.0,4.0,5.0,1.0
206,,,,,,,,,,,,,,,,,,,
207,,,,,,,,,,,,,,,,,,,
208,4.0,3.0,4.0,8.0,3.0,3.0,3.0,5.0,5.0,6.0,1.5,3.0,1.0,1.0,2.0,3.0,1.0,3.0,1.0
209,4.0,,4.0,4.0,3.0,2.0,2.0,5.0,5.0,5.0,4.0,4.0,1.0,2.0,3.0,3.0,4.0,4.0,1.0
21,6.0,2.0,5.0,6.0,3.0,2.0,2.0,5.0,5.0,6.0,4.0,3.0,1.0,1.0,3.0,5.0,5.0,4.0,1.0
210,6.0,1.0,2.0,1.0,2.0,2.0,3.0,4.0,4.0,2.0,2.0,4.0,1.0,3.0,5.0,5.0,3.0,5.0,2.0
211,6.0,1.0,4.0,6.0,3.0,2.0,3.0,2.0,3.0,1.0,36.0,1.0,1.0,1.0,5.0,3.0,3.0,4.0,1.0
212,6.0,1.0,4.0,7.0,2.0,2.0,2.0,1.0,2.0,5.0,6.0,3.0,2.0,2.0,1.0,4.0,1.0,5.0,1.0
213,6.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,10.0,1.0,1.0,3.0,2.0,1.0,2.0,5.0,1.0
22,2.0,1.0,3.0,3.0,2.0,2.0,,3.0,3.0,,7.0,,,,2.0,,,,
23,2.0,1.0,4.0,1.0,4.0,1.0,,5.0,5.0,,6.0,,,,1.0,,,,
24,5.0,2.0,4.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,9.0,4.0,1.0,3.0,5.0,4.0,2.0,2.0,1.0
